year,tasmax_year_ens32avg_rcp45
2006,289.9640198
2007,289.7626953
2008,289.9023132
2009,290.0485229
2010,289.9768677
2011,290.1713867
2012,290.2779236
2013,289.9060974
2014,289.9338684
2015,290.1878662
2016,289.9711609
2017,290.2035217
2018,290.2400208
2019,290.3384094
2020,290.2507629
2021,290.2310791
2022,290.3156128
2023,290.4258728
2024,290.5086975
2025,290.2800903
2026,290.8281555
2027,290.4500732
2028,290.3747559
2029,290.7263184
2030,290.5304565
2031,290.6685181
2032,290.7578735
2033,290.6279602
2034,290.9598999
2035,290.7653503
2036,290.9348145
2037,290.8412476
2038,290.9269104
2039,290.7937927
2040,290.7287292
2041,291.0875549
2042,291.0608826
2043,291.2389832
2044,291.087677
2045,291.2173157
2046,291.2894592
2047,291.3954773
2048,291.1944275
2049,291.0942383
2050,291.2885742
2051,291.3464966
2052,291.5231934
2053,291.3960876
2054,291.5567017
2055,291.4881592
2056,291.425354
2057,291.6353455
2058,291.7869873
2059,291.7571716
2060,291.3813477
2061,291.6625977
2062,291.7838745
2063,291.5599365
2064,291.6835327
2065,291.7797852
2066,291.7404175
2067,291.652832
2068,291.666748
2069,291.9037476
2070,291.7016907
2071,291.8102112
2072,292.0398254
2073,291.7149048
2074,291.9103088
2075,291.9688721
2076,291.9601746
2077,291.7694397
2078,291.927124
2079,291.85849
2080,291.9163208
2081,291.9318542
2082,291.9497986
2083,291.9477844
2084,291.833252
2085,292.0621948
2086,291.9267578
2087,291.9763794
2088,291.9941406
2089,292.0033569
2090,291.8229065
2091,292.1297302
2092,292.1095276
2093,291.9597168
2094,292.1725769
2095,291.9986877
2096,291.9275818
2097,292.2979736
2098,291.9083252
2099,292.0930786
